瑴	瑴玉裁成却附离
踊	踊出神鳌飞五彩 踊跃一鼓空两甄 踊跃山巅亦壮哉 踊跃鞍马来相过 踊跃近前争告语 踊跃长鱼一夫力 踊跃龙门三月新 踊身失势不得高 踊跃求为镆铘剑
踣	踣铁盘攒忽如掎
踟	踟蹰不归愁断肠 踟蹰山下濡须水 踟蹰五马谢相逢 踟蹰预恐春风来 踟躇三绕回高冈 踟蹰立马缘何事 踟蹰未去留彩云 踟蹰不觉归途晚 踟蹰未放闲人去
踔	踔行那得更怜夔
踧	踧踏长安开帝里 踧踖闻命敢不虔
踞	踞床年尽水沉烟 踞床一喝君闻否 踞床到处堪吹笛 踞炉炙脚童全野 踞视穿墉疑欲图 踞隆岩兮盘巨石 踞地咆哮天为黑 踞炉炽炭已不暇 踞床闭目略频伸 踞洗骂隋何腐儒
踢	踢着之时必伤面 踢须正七萼则三 踢翻鹦洲此何意 踢起眉毛争荐取 踢断岩头末后句 踢石穿林不暂休 踢倒飞来回首去 踢起眉毛著眼看 踢倒湖南瞎长老 踢一踢时吹一吹
踠	踠脱泥涂良已勤 踠足垂头困羁绊 踠地垂杨絮未飘 踠蜒双衔照天炬 踠霜蹄寄人篱下 踠促蹄高双耳峻
踯	踯躅花开照眼明 踯躅闲开艳艳花 踯躅冈头挽醉红 踯躅红花何实用 踯躅盈山禽磔磔 踯躅花开红照水 踯躅万树红相围 踯躅成山开不算 踯躅初开赐缥盆
踪	踪迹花边与柳边 踪迹今为人所怜 踪迹未辞鸳鹭客 踪迹于今复剑浦 踪之不即故曰蓬 踪迹不知往那边 踪迹浮沉水上鸥 踪迹由来久避秦 踪迹难令暗室藏
踘	踘场壮士阅剑舞
踸	踸踔梳翎苏委顿
蹉	蹉跎。勘破惊回 蹉过长沙觌面机 蹉跎冠盖谁相念 蹉跎莫遣韶光老 蹉过了丰城埋剑 蹉跎非是落便宜 蹉过重阳总不知 蹉跎不奈时惊客 蹉女自惭多丑拙 蹉跎已失邯郸步
踶	踶跂不立存朴惇
蹀	蹀躞骄生鸟兽行 蹀雪龙庭扫未久 蹀躞花边马不嘶 蹀躞娇黄不受鞿 蹀躞玉骢嘶草去 蹀躞看君上玉阶 蹀躞朝驰过上苑 蹀躞骐骝去路宽 蹀躞稳行黄道阔
踱	踱步鞋痕师禀气
踽	踽踽迂疏彼一鳏 踽踽东来想足音 踽踽宁求可善斯 踽踽凉凉莫我知 踽踽归来成靦颜 踽踽凉凉还自晒 踽踽人间未死身 踽踽行来举头见 踽踽故作侯芭来
蹁	蹁跹天上五仙人 蹁跹意已追鸿鹄 蹁跹鹤聚水云中 蹁跹野鹤身同逸
蹂	蹂躏秦原狐兔空 蹂躏何曾少怜惜
蹄	蹄伤不惮陇阴寒 蹄蹶难供十二闲 蹄圆腕蹙森开张 蹄耸足音响原野 蹄踪未干人去近 蹄悬四跼脑颗方 蹄想尘中翻碧玉 蹄下如闻朔风起 蹄轮应不到山前 蹄涔那改斗澄泓
踵	踵报祠官赋遂初 踵息无声酣午枕 踵门父老如云屯 踵门已觉尘凡空 踵武世科知有子 踵门忽得天下士 踵息无声不厌深
踰	踰城散走坠空壕 踰墙之树宜无取
蹈	蹈海高怀欣独往 蹈背出险安敢凭 蹈雪沽来酒倍香 蹈海君应访斗槎 蹈海孤臣耻帝秦 蹈泥运土自参机 蹈空舞阔四裴回 蹈海归来天地秋 蹈得林间路作坑 蹈舞更觉春风酣
蹇	蹇独淹留而不归 蹇驴闲後诗情减 蹇驴不载吟鞭去 蹇驴破帽随金鞍 蹇驴积雪深须去 蹇驴得志鸣春风 蹇驴系著门前柳 蹇驴破帽人人看 蹇步昏花当日痊 蹇充倔而无端兮
蹍	蹍成雪色浮乳花
蹑	蹑足修名谒外台 蹑石欹危过急涧 蹑屩佩剑来相寻 蹑屩未成游地肺 蹑尽悬空万仞梯 蹑足封王能早寤 蹑景追风忽见知 蹑屐宁须学谢公 蹑履三千皆后学 蹑屐归来已半醺
蹒	蹒跚勃窣我何者 蹒跚空笑玉楼人 蹒跚茧足亦羞缠 蹒跚愧我无金汞 蹒跚跛汲彼何叟 蹒跚病马踏砂行 蹒跚正废下堂行
蹋	蹋尽斜阳蹋月来 蹋雨来敲野店门 蹋蹋马＊江路杳 蹋著秤鎚硬似铁 蹋枝小鹊娇犹颤 蹋得苍苔一径深 蹋车人废彻宵眠 蹋破草鞵跟已断 蹋拖尚带蓬壶体 蹋著锥人脚指头
蹩	蹩躠强颜才跬步 蹩脚先生老气横
蹙	蹙金孔雀银麒麟 蹙蹙水纹生细縠 蹙金开襜衬银泥 蹙然如动乎其指 蹙损东风翠黛羞 蹙膝先生半自知 蹙踏扬州开帝里 蹙浪相翻惊海鸿 蹙破愁眉两点青 蹙成数片倚松根
蹛	蹛林初跃玉羁旋 蹛林风定雪花乾
蹡	蹡蹡衣裳犹楚制
蹔	蹔留已媿黔吾突 蹔来差足慰幽寻 蹔置观书不耐闲 蹔抛汤饼属吾曹 蹔屈清江纵羽鳞 蹔时黉舍冷无毡 蹔时敛念门户开 蹔从地主借茅茨 蹔劳使节持还家 蹔憩轩窗仍汛扫
蹠	蹠破指伤流血殷
蹭	蹭蹬我今惭薄宦 蹭蹬归期为恶宾 蹭蹬无功上麟阁 蹭蹬容图双鬓改 蹭蹬乃去为诗人 蹭蹬疮痍今不平 蹭蹬失身拘竹栅 蹭蹬双驹亦骏才 蹭蹬江南百事疏 蹭蹬也应无陆地
蹶	蹶张抵几能为相 蹶张强弩金仆姑 蹶牛马蹄无限恐 蹶铄野翁掀雉尾 蹶然揽衣起闯门 蹶张丞相冷如冰 蹶张放弦气愈雄 蹶然惊起天将晓
蹻	蹻符飞行戏玄洲
蹵	蹵裂玻瓈细有声
蹸	蹸藉夫子无罪尤
躄	躄膏新淬冰泉洁
躁	躁谋欲骤加雕剜 躁儿跳跃不足数 躁求那便契精微 躁动为得安无为
躍	躍马东来不记时 躍马怀金君蚤晚
躐	躐登将坛多所嫉
躞	躞蹀马摇金络脑 躞蹀行牵金鋄重 躞蹀宛驹齿未齐 躞躞兮若参兮前 躞蹀桑郊五马回 躞蹀追风不待挝 躞蹀冲尘汗满沟 躞蹀身轻山上走
躝	躝跞磵壑何当存
躡	躡蹬攀萝径转幽
齿	齿摇将脱发将童 齿摇复住力何施 齿豁头童方悟此 齿发凋零岁月驰 齿牙牢在莫欺翁 齿牙零落畏大胾 齿豁头童不自知 齿缺支离未偎傍 齿牙摇动鬓毛疏 齿发凋零奈尔何
龃	龃龉不棘险不巇 龃龉似为神物欺
龄	龄冷欲餐琼树玉
龆	龆年射策向金门 龆年书传有肝胆 龆齓谈经动圣聪 龆时蠹简剔残灰
龊	龊龊徒为儿女丑 龊龊生死真吾羞
龌	龌龊挚瓶嗟器小 龌龊车书曷足论 龌龊更无微价市 龌龊浮生如走电 龌龊岂堪豪右齿 龌龊常谈笑老生 龌龊龙锺何足见 龌龊低头共鄙贱 龌龊宁能老故丘 龌龊声名彻四维
非	非甘非苦味通神 非关呈瑞作人妍 非男女相主人翁 非凡非圣独惺惺 非镜非蟾君细看 非烟非雾锁窗中 非关癖爱轻模样 非村非郭枕柴局 非花非雾前时见 非我昔时千金躯
靠	靠山村落移时黑 靠著篷窗垂两目 靠浅紫深红暖处 靠西便入江南路 靠倒临济白拈贼 靠倒云门抽顾鉴 靠倒达磨老臊胡 靠藓石苔矶稳处 靠倒云门乾屎橛
阜	阜陵人物今馀几 阜陵丞相典刑存 阜陵书此有遗碑 阜陵按射殿南闱 阜安广粤新城郭 阜俗文章惜暗投 阜财解愠歌南音 阜财富国今何人 阜录新书幸已成 阜平山下剩黄云
金	金沙水拍云崖暖 金剪刀头芳意动 金刀剪彩呈纤巧 金炉因甚把香烧 金风玉露一相逢 金翦刀头芳意动 金钗玉腕泻鹅黄 金阙西厢叩玉扇 金屋妆成娇侍夜 金陵种柳欢娱地
釜	釜冷樽空客至疏 釜鱼化作池中物 釜甑有鱼盘有薇 釜鱼笼鸟求生路 釜鱼薪蚁何嗷嗷 釜里生鱼甑生尘 釜甑尘飞爨绝烟 釜里有鱼长自足 釜粥芬香饷邻父 釜羹翁自絮吴酸
鉴	鉴坏十方常住地 鉴池取月未伤廉 鉴水稽山尘不染 鉴裹双鸾挂宝台 鉴里朱颜岁岁移 鉴湖归唱村田乐 鉴形闭气思神法 鉴湖春好无人赋 鉴湖越台名士乡 鉴如居士东邻住
銮	銮铃珂佩白玉鞍 銮舆羽驾直城隈 銮舆迥出千门柳 銮与昨夜宿郊坛 銮舆东去此为轻 銮舆观稼晚方归 銮铃珂佩水精装 銮刀缕切空纷纶 銮舆半仗点灯回 銮舆却入华清宫
鋈	鋈光历历无纤差
錾	錾锤绳墨与熏缝
鍪	鍪函静听来千骑 鍪赖虫丝恋绝缨
鏊	鏊研坡陀墨满池
鎏	鎏金宝鸭焚都梁
鏖	鏖锋擒敌未为优 鏖凤万壑绎韵钧 鏖兵三窟尽妖党 鏖皋兰下夜还营 鏖战如遇将军霍 鏖兵不羡霍嫖姚 鏖战邪川正瞰虚 鏖砂灶破宝魄沦 鏖兵孽雏褫天戮 鏖虞六国愚黔黎
釭	釭花夜笑凝幽明
釦	釦砌迢遥望云阙 釦砌苔钱晦履綦 釦金元重名兼器
釪	釪明肉净绝泥沙
鈒	鈒镂银盘盛蛤蜊
鈇	鈇钺他年专将阃 鈇钺有诛宁敢避 鈇锧朱殷几一空 鈇锧岂甘因谏死 鈇钺倒置由他人 鈇锧至乃诛无须
鈆	鈆膏细细点花稍
鉥	鉥肝刿肾竟无益
鉏	鉏麦家家趁晚晴 鉏犁满野及冬耕 鉏奸君亦太分明 鉏陇老人又太老
鉤	鉤婉魂惊拭目初 鉤间棘句护帖妥 鉤丽冒胤未殄灭 鉤盾祥麰遍弄田
鈯	鈯斧又移深处山 鈯斧住山云水身 鈯斧相随到处居 鈯斧埋藏岁月深
銍	銍艾犹传挂丘垅
銛	銛锋不用洮州砺 銛戈利剑森交张 銛锋新莹鸊鹈膏 銛锥妙手应时胥 銛锋插戟包难见 銛豪破纸竟何益 銛公声名满吴会
鋜	鋜鹤声声唳碧天
鋀	鋀饤蔬槃已竹萌
鍚	鍚作诸峰玉一涓 鍚山诗老立层霄 鍚山山下荆溪渡 鍚骨中空都是乳 鍚泉泉上吐一珠
鍊	鍊得形如孟浩然 鍊多不信黄金耗 鍊石补天过女娲 鍊尽刚成与物和 鍊成黄土为真药 鍊得朱颜老不衰 鍊石补天灰渗地
鍼	鍼锋悬持妙善住 鍼石年来幸小停 鍼芥相投更不疑
鍛	鍛成温养似烹鲜
鎚	鎚拍豉汤都卖得 鎚凿工夫见十全
鍧	鍧雷激电非思议
鎔	鎔作骊龙百斛珠 鎔金为海愁不煎 鎔意成辞金薤垂 鎔铜灌口卧铁床 鎔铁作牛石作燕 鎔出形模造化工
鏠	鏠旗斂影豆笾陈
鏦	鏦金伐鼓行清秋 鏦金伐鼓催行丹 鏦蛟剸虎要支持
鏚	鏚药更谁悲远志
鏁	鏁洞白云花烂开 鏁向侯门作侍儿 鏁窗笑剪并刀冷 鏁断重关绝往来 鏁雾楼台阴自润 鏁制玉麟辞绀殿
鐍	鐍户不容浮蚁泄
鑊	鑊汤里倒番觔斗
鐶	鐶铃震处鬼神惊
鏽	鏽涩短刀何足云
鑑	鑑中容鬢看看老
鑚	鑚仰应无咫迟违 鑚龟小卜占灾数
鑪	鑪香烟断添银烛 鑪销香篆蔼馀芬 鑪锤广大无弃物 鑪冶祇应凭陋巷
鑱	鑱石鍼灸谁能传 鑱透九地山鬼愁 鑱崖刻石成大像 鑱出一片紫玉砖
鑽	鑽天但觉天云低 鑽头故纸枉工夫 鑽坚颜叹竭吾才 鑽刺逢迎状似妈
钁	钁头边事想含糊 钁头边事难分付 钁头制得气凌云 钁头倒把舞春风 钁头活计时时用 钁头边事谁相委 钁头钁底无回互
钃	钃镂赐与忠臣后
隶	隶古亲传伏生语 隶厮任辇起复僵 隶分唐汉诸家字 隶真行草最后出 隶法如公有典刑 隶籍盐场与锦坊 隶画聊从祖逖窥 隶人挑蠹巡千匝 隶书满纸籀文废 隶古真有两汉风
隸	隸书犹鄙晋臣功
開	開過十分風不動
閒	閒把花枝思往事 閒持杯酒临风处 閒忙犹复费支持 閒抛金弹打沙鸥 閒意相看了不惊 閒閒淡淡枯木云 閒引少林无孔笛 閒开棋局度清宵 閒花野草漫争春 閒閒兮声色不黏
閟	閟宫崇大列宗祧 閟宫神馆崇严配 閟灵修而自珍兮 閟宫厚德太阴精 閟藏欲永万世传 閟息陶陶乐瓮天
閞	閞窗更倩雨相催
閤	閤门开日入还齐 閤中同直前春事 閤中香进助情花 閤门传诏山人拜 閤子门当寝殿斜 閤门井不落第二 閤门导谒称小臣 閤皂玉笥青天双 閤门常锁有图书 閤门引谢正衙辞
閫	閫外威权善自裁 閫寄暂居油幕副
閴	閴其禅老居西堂 閴寂安居实潇洒 閴寥余韵出蹄筌 閴寂曹司搁笔前
闍	闍婆之国古来有
闇	闇室何妨日月明 闇点旌旗敌子房 闇淡绯衫称老身 闇里风飘入袖香 闇生魑魅蠹生虫 闇想楼台万馀里
闉	闉阇自昔宜双庙 闉阇半坏惊潮信 闉闍才出眼先明 闉闍半坏惊潮信
闃	闃无人到为难寻
闛	闛沓每疑坤轴动
闤	闤闠通衢散不难 闤闠方知天地静 闤闠行人往复疎 闤闠尘中有闤峤 闤闠凋零煨烬里 闤闠饿民冻欲死 闤闠变迁非曩日 闤闠深居似林谷
闢	闢地东郊旋剪芜 闢陵门而四达兮
青	青杏园林著酒香 青冥浩荡不见底 青旗沽酒有人家 青衫司马且江州 青缸明灭照悲啼 青云贻我长生曲 青鸟殷勤为探看 青春作伴好还乡 青裙缟袂谁家女 青枫浦上不胜愁
靖	靖节窗风犹有待 靖国崇宁各一时 靖定规模天广大 靖节先生几代孙 靖安宅里当窗柳 靖节依然求县令 靖节何须彭泽逢 靖节先生太逼真 靖通真人当复生
静	静观世事频兴叹 静乐堂中禅悦身 静坊深院闭婵娟 静听斑骓深巷里 静送忘言愁一段 静避绿阴莺有意 静看燕子垒新巢 静喧语默本来同 静观倦鸟投林宿
靘	靘妆清唱两无尘 靘妆不染胭脂水
飣	飣坐风流特地奇 飣坐那得马乳香 飣盘果饵如蜂房 飣餖盘餐亦时欲 飣果装香婢仆专 飣餖真山作假山
飨	飨时灵贶僾如在 飨众共烹君夫駮 飨有明德繄玉如 飨尔蘅芜一炷烟
餔	餔糟不及渔父贤 餔糟同醉未须回 餔餟勤来口不缄 餔糟更遣从流俗 餔糟敢笑屈原醒 餔啜灯前百忧散 餔糟啜醨乃吾味 餔儿喜笑迎郎罢 餔糟诸子醉六经 餔糟不听渔父言
餗	餗肴丰鲜牲鱼肥
餍	餍观山顶白云生 餍观搅海翻云势 餍饫鱼腥二千里
餖	餖飣西风□□□ 餖飣自与寻常殊
餘	餘花豈無好顔色
餕	餕馅饼皮纱布绢 餕餕款听钧天奏
餐	餐霞楼上动仙乐 餐霞炼石三千年 餐英汲润当朝炊 餐玉元知非火食 餐茹沆瀣长精神 餐松饮水守饥寒 餐花辟谷小夫人 餐罢愁君入杳冥 餐和饮顺中肠宽 餐饮落英并坠露
餦	餦餭糜糗难争衡
餟	餟醨若访垂纶客
餬	餬口四方何事无 餬口未忘丐斗升 餬口重来已十春 餬口卑官似不逢
餶	餶饳糖霜乳橘盘
餽	餽粮千晨忧不断
餮	餮殄文彝散玉烟 餮虱爷孙浩无数
饁	饁妇微行望耕垄
餻	餻诗酒帽茱萸席
饘	饘粥何妨逐渐营 饘粥弃饥自有馀 饘粥有馀炊饼饵
饕	饕劳愧乏经时策 饕杯自喜更筹缓 饕虐冯陵任风雪 饕相当朝舞大权 饕禄粗欣便老懒 饕风虐雪到家林 饕文如发双龙攫
饔	饔人且莫供羊酪 饔人受鱼鲛人手 饔官有品供王羞 饔子左右挥双刀 饔人知复受鲛人
鱼	鱼尾霞生明远树 鱼复城边逢雁飞 鱼市常因施药留 鱼符不请便朝天 鱼上竹竿人噪喜 鱼鳅群出天将雨 鱼龙寂寞秋江冷 鱼枕蕉深浮酒蚁 鱼龙潜跃水成文 鱼子笺中词宛转
鲂	鲂鱼肥美知第一 鲂鱼赪[3]尾 鲂尾如今较劳止 鲂鳢，君子有酒 鲂鱼鲅鲅更赪尾 鲂鱼鱍鱍归城市 鲂鱼鱍鱍色胜银 鲂{月隽}熊掌 鲂鱼胜银尊酒美 鲂鱮岂厌居溪谷
鲁	鲁祖垂慈太著忙 鲁叟从今不讳穷 鲁观书云方在候 鲁子师僧才一嗅 鲁公亭上望番城 鲁港当年傀儡场 鲁国多讥儒及戏 鲁酒不能春味足 鲁生竞起为绵蕝 鲁中狂士邢尚书
鲍	鲍叔如今不可寻 鲍娘诗句尚能存 鲍焦一世披草眠 鲍叔可能知管子 鲍郎山前烟雨昏 鲍郎山下雨昏昏 鲍老当筵笑郭郎 鲍叔临轩酒一卮 鲍家兄弟皆和乐 鲍参军到语多时
鲋	鲋波希润宁堪待 鲋池藏书抱祭器 鲋鱼踟躇遵行潦 鲋车涸辙若为谋
鲎	鲎樽恰受三升酝 鲎酱子鱼总佳客 鲎醢尊乾一醉同
鲈	鲈鱼正美不归去 鲈鱼恰似镜中悬 鲈肥莼美曾同食 鲈穿细柳重兼斤 鲈鱼白酒醉还醒 鲈鱼千头酒百斛 鲈鱼切玉劝郎尝 鲈鱼斫鲙输张翰
鲐	鲐背图形满天下 鲐皮束骨筋扶咽 鲐背鸠杖蒲轮安 鲐背自宜当职任 鲐背儿齿当期颐
鲊	鲊熟雏鹅怯带脂
鲛	鲛绡玉槛作扃栊 鲛绡十幅寿星图 鲛绡休卖海为田 鲛人暗动卷绡梭 鲛绡剪碎玉簪轻 鲛卵兼斤传海上 鲛人珠尽泪犹多 鲛人一饭尚知恩 鲛人远泛渔舟水 鲛绡掩泪思量遍
鲙	鲙下玉盘红缕细 鲙斫寒鱼初出沼 鲙盘如雪怕风吹 鲙刀聂聂飞琼霜 鲙忆松江两箸红
鲔	鲔可鱠兮粳可炊
鲟	鲟黄不减鲸与鱣 鲟香透白琼瑶片
鲗	鲗乌鮆白螺开靥
鲠	鲠亮谏辞端似贾 鲠论来为谏纸香 鲠论至今光汉传 鲠论不复相瑕疵 鲠喉欲吐终未能
鲧	鲧禹鑴镵那用许 鲧穴相传有化能 鲧汩五行贻帝忧
鲫	鲫鱼潮退余溪卤
鲤	鲤鱼日暖跳黄金 鲤鱼风退不胜秋 鲤鱼凭送相思书 鲤鱼风送木兰桡 鲤鱼波上丁宁切 鲤鱼食钩猿失群 鲤鱼不寄江南信 鲤鱼风起芙蓉老 鲤鱼糁美出神厨
鲨	鲨颢气兮轶嚣埃
鲥	鲥鱼清酒解消忧 鲥鱼入市河豚罢 鲥鱼苦笋玉盘中 鲥鱼出後莺花闹 鲥鱼出网蔽洲渚 鲥鱼出网不论钱 鲥鱼出网鲜犹活
鲦	鲦鲿鯩頠鲂与暐 鲦従容出何为哉 鲦鱼石蟹戏相过
鲳	鲳蚱脚多垂似带
鲸	鲸波万里谁知得 鲸吸旧宁论升较 鲸鱼张鬣海波沸 鲸鳌吞海误吞钩 鲸鲵鼓鬣连山沸 鲸浪浮天信所之 鲸海外多仙境界 鲸吸仙人饮兴浓 鲸鱼跋浪沧溟开 鲸灯落花殊未尽
鲲	鲲化鹏飞总未知 鲲鹏变化知难测 鲲海已知劳鹤使 鲲鹏自有天池著 鲲鹏变化知有托 鲲化鹏飞羽翼齐 鲲鹏水击三千里 鲲为鱼队潜鳞困 鲲鹏击浪从兹始 鲲鹏已向天池徙
鲮	鲮鳗环绕井楯间 鲮鱼风起鲸鲵涌 鲮鱼风息净江波
鲵	鲵嘘骇浪时开阖 鲵鲸归穴东溟溢
鲰	鲰生无语却踌躇 鲰生曾作茶岭诗 鲰生忝出陶鎔下 鲰生只备三千诗 鲰生何幸倚门墙 鲰臣荣幸从金舆 鲰生鼓箧趋贤关 鲰生颂德无他望 鲰生负笈造柯山 鲰生才业等袜线
鲿	鲿鲨，君子有酒
鳄	鳄鱼幸自徙化方 鳄鱼东遁不回头 鳄吼奔流一水清 鳄鱼张口夺灵齿 鳄鱼久出海若避 鳄鲸无所施其雄 鳄鱼池近介鳞趋 鳄乡未话腥风起 鳄鱼夜吼声如雷
鳃	鳃花轻拂紫绵香
鳅	鳅是虾兄非善地 鳅鳝起舞狐狸嗥 鳅蟹鱼虾乱踯跳 鳅穴灵胥白鹭涛 鳅乾助饮邻船老
鳌	鳌山宫阙倚晴空 鳌禁半生真浪迹 鳌山灯月照人嬉 鳌山缥缈昔游非 鳌山晴雪放灯时 鳌山彩缔耸仙峰 鳌宫春雨湿花砖 鳌山店上见曾郎 鳌山可是蓬山隔 鳌戴雪山龙起蛰
鳏	鳏鱼无队依蒲藻 鳏燕呼雏柳外哀 鳏鱼渴凤真珠房 鳏叟何尝愁枕冷 鳏鱼入夜几曾眠 鳏翁未遗细君柑 鳏寡来归乳雉驯 鳏孤肯复有羁旅 鳏鲕安用误回避
鳖	鳖小惟忧堵父怒 鳖灵异姓争荒遐 鳖跛未输蚿百足 鳖头主人邀客饮 鳖鳝蟹蛤杀无数 鳖跛蠖屈今已惯 鳖头处士若为攀 鳖灵夏禹不能摧
鳗	鳗井寒潮长石衣 鳗井初生一缕云 鳗井由来岁月深
鳙	鳙比松江似更奇
鳞	鳞龙无限落谁手 鳞烦紫吏馈雄篇 鳞龙头角竞疏亲 鳞鸿不寄辽东信 鳞鳞波暖鸳鸯语 鳞差观阁接飞翚 鳞甲一动千黄金 鳞跃疑投水心剑 鳞鳞鸳瓦静无烟
鳝	鳝鱼走入麻油翁 鳝鲫鳖没泥滓中
鳟	鳟纺鲦鲤鰋鱨鲨
鳣	鳣鲔那知广大恩
雪	雪花浮动万家春 雪绕红绡舞袖垂 雪里餐毡例姓苏 雪肤花貌参差是 雪上空留马行处 雪晴江上麦千车 雪花飞暖融香颊 雪绕红琼舞袖回 雪颔霜髯不自惊 雪林初下瓦疏珠
雩	雩坛歌舞杂嗟吁 雩上鲜风拂袂过 雩郊几夕见龙星 雩风元自异公西 雩龙降尾交新霁 雩娄陂水旧风烟 雩祷于天且不违 雩应方知社有神 雩坛滴酒土未乾 雩下春风吹已乾
雲	雲暗峨嵋封古色
雹	雹寒不敢近崖看 雹子何孤竹屋声 雹声夜碎月衔峰 雹风电火相卷射 雹声击瓦疑皆碎 雹落文楸黑白棋 雹拳破瓦万甲疾 雹飞邻壤同时事 雹大如拳死飞鸟 雹凸骞翔天下知
零	零泪沾衣抚心叹 零落栖迟感兴多 零星往事耐思量 零落碧桃香片片 零落依稀倾凿落 零落成泥碾作尘 零落栖迟一杯酒 零丁洋里叹零丁 零露漙[1]兮
雾	雾变豹而草木光 雾鬓风鬟相借问 雾窗寒对遥天暮 雾蔽山峦不易寻 雾露云霞体上衣 雾帐吹笙香袅袅 雾雨更知仙骨别 雾柳暗时云度月 雾中不隔万家鸡
霁	霁日园林有晚莺 霁寒夜永斗牛辉 霁夜鱼龙吞月魂 霁天旭日敞金扉 霁光浮瓦碧参差 霁日迟迟风扇暖 霁虚廓净绝方隅 霁雪遥看古塔层 霁天碧净暝云收 霁柳吹花春已老
霆	霆击寒春灭下民 霆收无迹雨在物 霆轰电烻数声频
需	需云宴衎庆流虹 需君健语破樊笼 需云下际君恩盛 需公排日作好诗 需云复宴凤凰台 需燕一番云上天 需拜扬休天子明
霈	霈然甘泽洗尘寰 霈然一雨千里同 霈然甘泽副油云 霈泽自天难出位 霈然三日果应期 霈然一夜雨声长 霈然一雨翳晚景 霈然坐待三尺雨 霈为霖雨岁登秋 霈泽朝均千里外
霄	霄汉长怀捧日新 霄露清尘临上苑 霄汉路殊从道合 霄汉路歧腾万里 霄汉无云日月真 霄汉长怀捧日心 霄程九万看风抟 霄汉年年望后尘 霄汉振飞何更拟
霅	霅川疑狱独承当 霅川今是辋川图 霅溪湾里钓渔翁 霅水苕溪我旧游 霅溪深极地根清 霅川钱翁贵纤悉 霅上茗芽因客煮 霅水云深著钓船 霅溪湾里钓鱼翁
震	震旦狂禅沸不支 震荡沈浊终无清 震雷霪雨夜达晨 震龙汞自出离乡 震雷惊起在何时 震扬威武慑多方 震旦二三浑未悟 震凌喧梦时惊疑 震雷惊落奸邪胆 震电万车争殷辚
霏	霏霏春雨却催诗 霏霏小雨忽已晴 霏霏春雨细如丝 霏霏小雨又成泥 霏微梅雨暗林塘 霏霏小雨恼春光 霏霏泼火雨初晴 霏微雨罢残阳院 霏霏微微点长露 霏微尽日寒塘雨
霍	霍童山在闽之隅 霍家有女字成君 霍光擅汉人皆恐 霍食鹑衣天所料 霍然一挥遍九野 霍山直拔透重关 霍如羿射九日落 霍地啸舞含风雷 霍氏初除魏相来 霍然已醒如过烧
霖	霖铃不是相思阻 霖雨迷漫泞土尘 霖铃秋雨打空阶 霖雨才收必有余 霖雨苍生气倍豪 霖收傅说岩前雨 霖雨虽从天上降 霖铃又似龟山雪 霖雨看看属傅岩 霖雨即陪诸老进
霓	霓旌绛节下层空 霓旌绛节会中元 霓光留景正团枝 霓裳依约梦魂飘 霓为衣兮风为马 霓裳拽住君休去 霓裳易散梨园老 霓裳浅艳来何处 霓裳舞罢难留住 霓裳舞彻凌波步
霎	霎霎高林簇雨声 霎时云雨人抛却 霎时迎雨障崔嵬 霎时间富贵虚花 霎时啼鸟百千般 霎时不见早思量 霎时光景值千金 霎时间月缺花飞 霎儿光景认为真 霎时吹面刀剜肉
霙	霙铺毬路带春多
霜	霜鬓真堪插拒霜 霜重鼓声寒不起 霜华暗卷楼南树 霜缟同心翠黛连 霜叶红于二月花 霜庭按舞月娟娟 霜鬓不须催我老 霜林风过叶声乾 霜天不管青山瘦 霜重鼓寒声不起
霞	霞觞潋滟红鳞起 霞明藻卫列通庄 霞浆莫放琉璃浅 霞衣轻举疑奔月 霞影分丹乘浩露 霞觞且共深深酌 霞觞共庆公家寿 霞觞翻手群仙笑 霞彩高明道味长 霞彩连天长不断
霡	霡霂未施风不息 霡霂来如晓雾飞 霡霂几随风入夜
霤	霤号野哭涕徒挥 霤深壁峭不可往
霭	霭霭君诗似岭云 霭霭新诗似岭云 霭霭祥云辇路晴 霭霭红霞海日睛 霭霭青云起砚田 霭霭纷纷不可穷 霭霭浮云锁野堂 霭霭停云覆短墙 霭霭春和生海市
霪	霪霖积潦行路难
霰	霰雪影断清光夺 霰效前驱雪踵至 霰雪纠结风峥嵘 霰桥春水波鳞鳞 霰雪相逢倦客天 霰集预占祥瑞数 霰集柏杉霏靀鬆 霰雪漫漫平沙川 霰花无数拂雕鞍 霰雪为霖近浃旬
霮	霮＊玄云起墨池
霱	霱云曙开俨斧扆
霸	霸桥寂寞前溪暮 霸陵醉尉误谁何 霸业弥思纛屋尊 霸主并吞在物情 霸才无主独怜君 霸越独高身退后 霸祖孤身取二江 霸陵东望人烟绝 霸吴平地漫今古 霸业荒凉遗堞坠
霹	霹雳破石泉源通 霹雳一声妖彗殒 霹雳一声烧尾去 霹雳电光生石齿 霹雳迫之去不还 霹雳应手神珠驰 霹雳搜寻火满潭 霹雳掣电捎平冈 霹雳一声头角露 霹雳声中自得神
霿	霿凇花开处处同
霾	霾两轮兮絷四马 霾风拂雨炎天凉 霾风霄雨湿征裾
靈	靈胥怒兮蛟躒舟
隼	隼励秋深拂翠翘 隼旟聊驻朱轮车 隼旟齐驻是鸿冥 隼旟画戟明千里 隼旟绀幰城西阙 隼旟应是隔年回 隼旟行处瘴江清 隼被鷃姿知有累 隼旟悠颺满春风
