瑴	瑴玉裁成却附离
凑	凑饵惊跳去复回 凑作曹家三绝奇
减	减节从教岁月身 减尽朱颜白发新 减财节色是因缘 减尽重裘觉体轻 减财节色保丹田 减尽荀衣昨日香 减百抽分或细奸 减字偷声按玉箫 减却牡丹妖艳色
凛	凛凛长剑倚天门 凛凛孤风藏不得 凛凛冰清岩壑气 凛凛咥人愁履虎 凛凛玉立冠中都 凛凛将军令已行 凛凛兮霜风袭户 凛然大节固难移 凛凛孤风不自夸 凛凛威风四百州
凜	凜然大节死不屈 凜凜大节何峥嵘 凜然忠孝孰能干 凜发天风肃毛骨
凝	凝羞隔水抛红豆 凝情有恨无人管 凝绝不通声暂歇 凝眸。悔上层楼 凝膏清涤高阳醉 凝香仙伯莺花主 凝情霭郁比难说 凝情羞对海棠花 凝神巧妙通南北
卞	卞山幽石产奇璞 卞玉影沈沙草暗 卞璧骊珠成滞货 卞和未雪荆山耻 卞玉那愁无识真 卞子功成两虎俱 卞侯墓上迷芳草 卞山倒影双溪里 卞和不斵与石离 卞和有智楚王嫌
卢	卢舍时时现本身 卢医体貌殊严怪 卢郎已分愁中老 卢公冷笑秀公痴 卢女嫁时终薄命 卢老无端颺下柴 卢能有过且无功 卢公付了亦何凭 卢敖夫归骖鸾侣 卢老心传不识书
卤	卤莽耕耘报亦同 卤莽因循已半生 卤簿分头入太常 卤簿晓排仙仗发 卤簿迟迟出国门 卤簿萧萧鼓吹鸣 卤浓碱淡未得闲 卤簿新排送葬仪 卤簿如云绣色鲜 卤簿导归燕许第
卦	卦气周来从新起 卦辞爻辞易之注 卦气周圆炉鼎开 卦未兆阿谁来买 卦逢大壮羝羊困 卦气全来二十年 卦气匆匆过二年 卦候翻成地天泰 卦中设象本仪形 卦向爻中分损益
卧	卧看碧天流素月 卧看翠壁红楼起 卧鸭池头小苑开 卧护懒通天子诏 卧听邻娃笑语归 卧龙跃马终黄土 卧看骇浪与天浮
厄	厄会有谁知死所 厄磴层层上太华 厄於陈蔡尚弦歌 厄穷知我岂非天 厄於劫火元无恙 厄杨仍发一年枝 厄穷却羡弃家僧 厄穷苏武餐毡久 厄贫废学诚可矜 厄穷已极畏凶饥
历	历历见闻中得妙 历块过都见尔曹 历历前欢无处说 历历黄鹂枕上听 历吉日乎吾将行 历历汉初秦季事 历历机头看正偏 历历胸中千载事 历险阻兮之羗蛮 历历机头不挂丝
厅	厅前旧本今应在 厅琐石渠封简册 厅吏能封竹槛花 厅然之下凡三迁 厅事便临芳草迳 厅岸崎岖须列炬 厅前捉到须依法 厅绝诗成泣鬼神 厅前皆种紫微花
厉	厉甲扬戈昧远谋 厉志莫赏徒劳疲 厉声摧山虎为沮 厉声奋激膺贼锋 厉辞传处口如雷 厉风翻海雪漫天 厉鬼回兮毕方逐 厉声披拂昼兼宵 厉气已消除日后 厉宣子孙窜四方
厇	厇诉金毛师子子
厓	厓间板屋依云架 厓石崩腾腥血溅 厓騑鸬鹚满钓槎 厓前风雨客愁新 厓海夜寒惟月上 厓山东下海茫茫
厚	厚颜衰暑未甘衰 厚薄亲疏心总知 厚薄高低何日休 厚价收书不似贫 厚貌深情非易察 厚约深盟何处诉 厚薄有等明爵服 厚重虚怀见古风 厚禄故人书断绝 厚重高深难比擬
厘	厘席方将问鬼神
厖	厖眉皓首双松老 厖言幻学宁女容 厖然卧息长街内 厖眉华发四朝老 厖眉垂鬓有仙骨 厖眉白面照青春 厖眉自识车音美 厖眉昔日商山皓
厝	厝火当忧卧积薪 厝因宦学苦伤贫
